Tipo de Outorga;CNPJ;UF;Empresa;Porte da Prestadora;Grupo Econômico;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06
Autorização;76535764000143;GO;OI;Grande Porte;OI;60;70;70;70;70;70;70;70;70;80;90;130;130;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;140;140;140;140;170;170;170;170;170;170;170;170;170;170
Autorização;76535764000143;MS;OI;Grande Porte;OI;72;71;74;74;75;76;75;75;74;106;112;113;113;117;120;150;150;149;149;165;165;162;167;167;167;178;178;177;181;182;182;182;182;181;181;182;181;181;184;159;160;159;160;160;158;158;157;157;142;142;142;144;146;146;148;148;147;148;148;154;155;155;155;158;160;162;165;170;169;169;170;;
Autorização;76535764000143;PR;OI;Grande Porte;OI;1439;1442;1381;1501;1456;1516;1394;1319;1318;1356;1385;1415;1444;1504;1530;1531;1556;1526;1526;1555;1554;1544;1544;1544;1559;1559;1439;1439;1439;1439;9236;1410;1500;1500;1500;1500;1477;1397;1329;1329;1442;1437;1437;1437;1437;1426;1456;1456;1576;1576;1546;1456;1456;1486;1546;1576;1576;1576;1576;1586;1556;1556;1626;1626;1626;1806;1806;1836;1806;1806;1836;1896;1896
Autorização;58526690000105;SP;IDT BRASIL TELECOMUNICAÇÕES LTDA.;Pequeno Porte;OUTROS;586;596;607;611;619;618;634;636;653;643;648;658;692;676;671;675;676;682;690;695;684;692;697;698;690;693;693;695;702;695;690;689;684;678;675;678;669;672;669;667;669;671;671;667;665;663;659;659;660;662;664;661;664;658;655;664;663;656;654;654;650;657;639;639;637;643;640;640;640;636;632;627;625
Autorização;01371416000189;PR;PREFEITURA DE LONDRINA/COPEL;Pequeno Porte;PREFEITURA DE LONDRINA/COPEL;7214;7316;7470;7549;7744;7953;8238;8393;8477;8677;8733;8901;9068;9306;9452;9734;10058;10644;11141;11424;11369;11935;12245;12576;12931;13489;13938;14470;14819;15209;15462;15662;15812;16320;16743;17237;18114;18805;19160;19708;20087;20449;20843;21106;21430;22789;22995;23602;23883;24247;24782;24844;24897;26687;26821;26905;27155;27298;27572;26848;27081;27427;29535;29806;30379;30615;30812;31056;31435;31479;31748;31863;31901
Autorização;72843212000141;MG;Cirion Technologies do Brasil Ltda;Pequeno Porte;OUTROS;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;;74;74;74;74;74;74;74;104;74;74;74;74;;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;60;60;60
Autorização;72843212000141;PR;Cirion Technologies do Brasil Ltda;Pequeno Porte;OUTROS;451;451;451;451;451;571;571;571;571;571;571;571;631;631;661;721;810;810;810;840;870;870;900;949;999;999;999;999;999;1029;999;999;999;1029;1029;1029;1029;1029;1029;;1089;1089;1089;1089;1089;1089;1089;1149;1089;1089;1089;1089;;1089;1089;1089;1089;1089;1089;1089;1149;1209;1209;1209;1209;1209;1209;1299;1299;1299;600;600;600
Autorização;72843212000141;RJ;Cirion Technologies do Brasil Ltda;Pequeno Porte;OUTROS;349;349;349;349;349;349;349;349;349;349;349;349;439;439;469;529;630;630;630;660;690;720;720;709;780;803;803;803;803;803;803;803;803;833;833;833;833;833;833;;895;895;895;895;895;895;895;985;895;895;895;895;;895;945;945;945;945;945;945;975;1005;1005;1005;1005;1005;1005;1065;1155;1155;1620;1620;1620
Autorização;72843212000141;SP;Cirion Technologies do Brasil Ltda;Pequeno Porte;OUTROS;1387;1387;1387;1387;1447;1657;1657;1657;1657;1657;1657;1657;1777;1777;1807;1897;2070;2070;2070;2130;2160;2190;2220;2318;2366;2816;2816;2846;2846;2876;2846;2846;2846;2906;2966;2966;3116;3116;3116;;3147;3147;3147;3147;3147;3147;3147;3207;3147;3147;3327;3327;;3327;3387;3387;3387;3387;3387;3387;3447;3507;3507;3507;3507;3507;3507;3597;3687;3687;4590;4590;4590
Autorização;02421421000111;AC;TIM;Grande Porte;TELECOM ITALIA;755;774;776;767;773;777;778;766;765;735;743;790;800;826;846;853;872;900;901;914;921;955;943;1070;1087;1161;1222;1212;1214;1214;1255;1242;1276;1275;1278;1282;1278;1278;1314;1320;1332;1318;1314;1312;1048;1053;1056;1054;1053;1052;1050;1050;945;944;944;944;945;958;1010;1009;1007;1005;997;992;991;995;991;894;891;920;912;911;904
Autorização;02421421000111;AL;TIM;Grande Porte;TELECOM ITALIA;785;804;806;797;803;807;808;796;795;765;773;820;830;856;876;883;902;930;931;944;951;985;1033;1100;1117;1191;1252;1242;1244;1244;1384;1371;1375;1374;1377;1381;1377;1377;1413;1419;1431;1417;1413;1411;1147;1152;1125;1123;1122;1121;1119;1119;1014;1013;1013;1013;1014;1057;1109;1108;1106;1104;1096;1091;1090;1094;1090;993;990;989;981;980;973
Autorização;02421421000111;AP;TIM;Grande Porte;TELECOM ITALIA;755;774;776;767;773;777;778;766;765;735;743;790;800;826;846;853;872;900;901;914;921;955;1003;1070;1087;1161;1222;1212;1214;1214;1255;1242;1246;1245;1248;1252;1248;1248;1284;1290;1302;1288;1284;1282;1018;1023;996;994;993;992;990;990;885;884;884;884;885;898;950;949;947;945;937;932;931;935;931;834;831;830;822;821;814
Autorização;02421421000111;AM;TIM;Grande Porte;TELECOM ITALIA;755;774;776;767;773;777;778;766;765;735;743;790;800;826;846;853;872;900;901;914;921;955;1003;1070;1087;1161;1222;1212;1214;1214;1255;1242;1246;1245;1248;1252;1248;1248;1284;1290;1302;1288;1284;1282;1018;1023;996;994;993;992;990;990;885;884;884;884;885;898;950;949;947;945;937;932;931;935;931;834;831;830;822;821;814
Autorização;02421421000111;BA;TIM;Grande Porte;TELECOM ITALIA;2985;3042;3048;3021;3039;3051;3114;3137;3134;3014;3068;3239;3299;3287;3377;3428;3515;3599;3602;3671;3722;3824;3968;4229;4250;4502;4685;4655;4811;4811;4874;4835;4847;4844;4823;4835;4823;4793;4961;4979;5015;4913;4961;4955;4163;4178;4127;4121;4148;4085;4169;4169;3854;3851;3851;3851;3854;4043;4379;4316;4250;4184;4160;4145;4082;4184;4172;3731;3693;3690;3666;3633;3612
Autorização;02421421000111;CE;TIM;Grande Porte;TELECOM ITALIA;1385;1434;1466;1487;1553;1587;1588;1576;1665;1635;1643;1690;1700;1756;1806;1813;1832;1860;1861;1874;2001;2035;2083;2372;2389;2403;2434;2424;2246;2246;2257;2244;2248;2247;2280;2344;2370;2370;2436;2442;2454;2440;2496;2494;2200;2235;2208;2236;2265;2144;2172;2172;2127;2126;2276;2396;2457;2740;3122;3181;3209;3237;3139;3134;3133;3287;3253;3156;3153;3182;3054;2933;2836
Autorização;02421421000111;DF;TIM;Grande Porte;TELECOM ITALIA;1085;1104;1106;1097;1103;1167;1138;1126;1125;1095;1103;1180;1250;1306;1326;1333;1352;1380;1381;1424;1431;1467;1515;1582;1599;1553;1644;1634;1606;1576;1617;1874;1937;2537;2870;3174;3170;3200;2965;2941;2953;2999;3146;3143;3509;3454;3247;3305;3305;3304;3332;3332;3286;3405;3975;4186;4186;5100;5691;5781;5689;5687;5709;5703;6123;6366;6392;6205;6202;6201;6254;6223;6065
Autorização;02421421000111;ES;TIM;Grande Porte;TELECOM ITALIA;879;898;900;891;867;870;902;890;918;859;893;944;954;980;1000;1007;1026;1084;1085;2;2;1139;1187;1254;1271;1345;1376;1366;1368;1368;1409;1396;1400;1399;1402;1406;1372;1372;1407;1413;1426;1412;1408;1406;1142;1147;1120;1118;1117;1116;1114;1114;1009;1008;978;978;979;992;1044;1043;1041;1039;1031;1026;1025;1029;1025;928;924;924;916;915;878
Autorização;02421421000111;GO;TIM;Grande Porte;TELECOM ITALIA;875;894;926;917;923;957;958;946;945;915;923;970;980;1006;1026;1003;1022;990;1051;1064;1071;1105;1153;1220;1237;1311;1372;1362;1364;1364;1405;1392;1396;1395;1398;1402;1398;1338;1374;1380;1662;1648;1644;1672;1408;1413;1416;1414;1413;1412;1410;1410;1305;1304;1304;1304;1305;1318;1370;1369;1367;1365;1357;1352;1291;1325;1321;1224;1221;1220;1182;1181;1174
Autorização;02421421000111;MA;TIM;Grande Porte;TELECOM ITALIA;815;834;866;857;863;867;868;856;855;825;833;880;890;916;936;943;962;990;1051;1004;1011;1045;1093;1190;1207;1281;1312;1302;1304;1304;1345;1362;1366;1365;1368;1372;1368;1368;1404;1410;1422;1408;1404;1402;1138;1143;1116;1114;1113;1112;1110;1110;1005;1004;1004;1004;1005;1018;1070;1069;1067;1065;1057;1052;1051;1055;1051;954;951;950;942;941;934
Autorização;02421421000111;MT;TIM;Grande Porte;TELECOM ITALIA;755;774;776;767;773;777;778;766;765;735;743;790;800;826;846;853;872;900;901;914;921;955;943;1070;1087;1161;1222;1212;1214;1214;1255;1242;1246;1245;1248;1252;1248;1248;1284;1290;1302;1288;1284;1282;1018;1023;936;934;993;992;930;930;885;884;884;884;885;898;950;949;947;945;937;932;931;935;931;834;831;830;822;821;814
