Ano;Mês;Tipo de Outorga;Acessos
2007;6;Concessão;34333739
2007;7;Concessão;34103090
2007;8;Concessão;34102845
2007;9;Concessão;34061795
2007;11;Concessão;34043741
2007;10;Concessão;34003662
2008;1;Concessão;33968661
2007;12;Concessão;33873928
2008;10;Concessão;33758912
2008;2;Concessão;33723197
2008;3;Concessão;33692876
2008;9;Concessão;33627690
2008;4;Concessão;33616983
2008;6;Concessão;33614527
2008;5;Concessão;33608993
2008;8;Concessão;33601827
2008;7;Concessão;33573175
2008;11;Concessão;33546745
2008;12;Concessão;33445488
2009;1;Concessão;33341160
2009;2;Concessão;33211442
2009;3;Concessão;33127232
2009;4;Concessão;32994682
2009;5;Concessão;32972212
2009;6;Concessão;32913771
2009;7;Concessão;32741083
2009;8;Concessão;32559565
2009;9;Concessão;32464590
2009;10;Concessão;32409759
2009;11;Concessão;32351216
2009;12;Concessão;32251502
2010;1;Concessão;32188890
2010;2;Concessão;32066328
2010;3;Concessão;31977836
2010;4;Concessão;31845629
2010;5;Concessão;31771774
2010;6;Concessão;31714817
2010;7;Concessão;31587123
2010;9;Concessão;31495607
2010;8;Concessão;31477126
2010;10;Concessão;31265740
2010;11;Concessão;31199326
2010;12;Concessão;31009863
2011;1;Concessão;30918268
2011;3;Concessão;30872756
2011;2;Concessão;30693187
2011;4;Concessão;30504842
2011;5;Concessão;30237450
2011;6;Concessão;30213217
2011;7;Concessão;30141344
2011;8;Concessão;29970191
2011;9;Concessão;29885368
2011;10;Concessão;29829781
2011;11;Concessão;29758266
2011;12;Concessão;29703125
2012;1;Concessão;29577764
2012;2;Concessão;29524155
2012;3;Concessão;29456269
2012;4;Concessão;29408681
2012;5;Concessão;29374150
2012;6;Concessão;29308830
2012;7;Concessão;29253946
2012;8;Concessão;29224402
2012;9;Concessão;29149208
2012;10;Concessão;29092949
2012;11;Concessão;29068156
2012;12;Concessão;28940206
2013;1;Concessão;28847246
2013;2;Concessão;28788651
2013;3;Concessão;28721401
2013;4;Concessão;28683411
2013;5;Concessão;28613721
2013;6;Concessão;28456104
2013;7;Concessão;28331759
2013;8;Concessão;28252350
2013;9;Concessão;28138934
2013;10;Concessão;28041660
2013;11;Concessão;27936434
2013;12;Concessão;27630811
2014;1;Concessão;27486068
2014;2;Concessão;27460402
2014;3;Concessão;27381467
2014;4;Concessão;27284353
2014;5;Concessão;27277976
2014;6;Concessão;27076337
2014;7;Concessão;26901983
2014;8;Concessão;26768348
2014;9;Concessão;26686599
2014;10;Concessão;26592308
2014;11;Concessão;26508862
2014;12;Concessão;26320890
2015;1;Concessão;26194106
2015;2;Concessão;26089868
2015;3;Concessão;25959204
2015;4;Concessão;25836630
2015;5;Concessão;25714284
2015;6;Concessão;25570048
2015;7;Concessão;25451356
2015;8;Concessão;25237927
2015;9;Concessão;25083419
2015;10;Concessão;24901729
2015;11;Concessão;24748741
2016;4;Concessão;24725260
2016;2;Concessão;24629836
2015;12;Concessão;24591684
2016;5;Concessão;24570266
2016;6;Concessão;24503060
2016;1;Concessão;24492543
2016;7;Concessão;24420048
2016;8;Concessão;24285723
2016;3;Concessão;24233216
2016;9;Concessão;24208457
2016;10;Concessão;24138858
2016;11;Concessão;24047895
2016;12;Concessão;23917536
2017;1;Concessão;23779302
2017;3;Concessão;23683302
2017;2;Concessão;23681344
2017;4;Concessão;23598969
2017;5;Concessão;23535010
2017;6;Concessão;23456743
2017;7;Concessão;23277819
2017;8;Concessão;23167456
2017;9;Concessão;23045038
2017;10;Concessão;22926354
2017;11;Concessão;22799087
2017;12;Concessão;22659130
2018;1;Concessão;22543751
2018;2;Concessão;22403778
2018;3;Concessão;22248555
2018;4;Concessão;22125152
2018;5;Concessão;21995473
2018;6;Concessão;21861645
2018;7;Concessão;21721714
2018;8;Concessão;21570155
2018;9;Concessão;21390883
2018;10;Concessão;21235795
2018;11;Concessão;21119412
2018;12;Concessão;20899233
2019;1;Concessão;20707674
2019;2;Concessão;20507818
2019;3;Concessão;20320687
2019;4;Concessão;20160841
2019;5;Concessão;19927814
2019;6;Concessão;19779776
2019;7;Concessão;19607602
2019;8;Concessão;19323062
2019;9;Concessão;19068389
2015;12;Autorização;18817787
2019;10;Concessão;18803433
2016;2;Autorização;18729693
2016;3;Autorização;18723845
2016;1;Autorização;18680297
2019;11;Concessão;18483707
2015;5;Autorização;18287219
2015;6;Autorização;18281367
2015;10;Autorização;18275171
2015;9;Autorização;18271358
2015;4;Autorização;18258300
2015;8;Autorização;18227742
2015;11;Autorização;18225690
2015;7;Autorização;18167364
2015;3;Autorização;18140421
2019;12;Concessão;18109588
2015;2;Autorização;18094353
2016;4;Autorização;18072118
2016;5;Autorização;18019849
2016;6;Autorização;17982827
2016;7;Autorização;17942031
2016;8;Autorização;17927788
2020;1;Concessão;17816156
2014;12;Autorização;17807298
